City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Zhoucheng,CN,2022-02-11 00:54:18,35.9122,116.3117,40.01,65,100,4.76
113,Campoverde,PE,2022-02-11 00:54:19,-8.4753,-74.8058,74.89,96,26,1.52
114,Beruwala,LK,2022-02-11 00:54:19,6.4788,79.9828,74.46,88,66,3.04
115,Pinawa,CA,2022-02-11 00:54:20,50.1489,-95.8811,21.04,97,99,4.83
116,Kayerkan,RU,2022-02-11 00:54:20,69.3497,87.7602,-1.48,84,19,9.19
117,Punta Arenas,CL,2022-02-11 00:54:20,-53.15,-70.9167,46.51,61,75,21.85
118,Kavieng,PG,2022-02-11 00:54:21,-2.5744,150.7967,82.6,74,78,5.19
119,Casper,US,2022-02-11 00:54:21,42.8666,-106.3131,41.32,56,28,13.13
120,Saskylakh,RU,2022-02-11 00:54:22,71.9167,114.0833,2.7,93,93,11.95
121,Fort Nelson,CA,2022-02-11 00:54:22,58.8053,-122.7002,36.99,38,40,21.85
122,Guerrero Negro,MX,2022-02-11 00:54:22,27.9769,-114.0611,68.23,38,0,12.06
123,Dikson,RU,2022-02-11 00:48:51,73.5069,80.5464,7.43,92,100,26.66
124,Tual,ID,2022-02-11 00:54:23,-5.6667,132.75,81.52,74,23,2.91
125,Bayir,TR,2022-02-11 00:54:23,37.2687,28.2167,37.92,59,0,4.72
126,Copiapo,CL,2022-02-11 00:54:24,-27.3667,-70.3333,67.15,64,0,4.61
127,Gazojak,TM,2022-02-11 00:54:24,41.1875,61.4036,47.16,48,100,5.35
128,Morgan City,US,2022-02-11 00:54:25,29.6994,-91.2068,60.01,71,92,5.08
129,Toora-Khem,RU,2022-02-11 00:54:26,52.4675,96.11,-30.84,100,100,1.3
130,Shenjiamen,CN,2022-02-11 00:54:26,29.9576,122.298,46.63,75,100,10.04
131,Gazimurskiy Zavod,RU,2022-02-11 00:54:27,51.5461,118.3266,-3.3,97,100,1.68
132,Mount Gambier,AU,2022-02-11 00:54:28,-37.8333,140.7667,66.11,59,100,10.36
133,Airai,TL,2022-02-11 00:54:28,-8.9266,125.4092,68.22,80,100,1.61
134,Horki,BY,2022-02-11 00:54:29,54.2861,30.9842,29.53,97,100,5.21
135,Alexandria,EG,2022-02-11 00:54:29,31.2156,29.9553,51.76,82,0,5.75
136,Mendi,PG,2022-02-11 00:54:30,-6.1761,143.6513,58.06,99,100,3.11
137,Opaka,BG,2022-02-11 00:54:30,43.45,26.1667,40.59,78,0,4.54
138,Bilibino,RU,2022-02-11 00:55:31,68.0546,166.4372,-33.9,97,83,0.89
139,Yulara,AU,2022-02-11 00:55:31,-25.2406,130.9889,82.24,24,0,14.97
140,Urengoy,RU,2022-02-11 00:55:31,65.9667,78.3667,-3.51,85,99,12.3
141,Rio Gallegos,AR,2022-02-11 00:55:32,-51.6226,-69.2181,51.85,35,20,25.32
142,Kirov,RU,2022-02-11 00:55:32,58.5966,49.6601,17.96,95,100,6.87
143,Puerto Carreno,CO,2022-02-11 00:55:33,6.189,-67.4859,87.78,48,0,10.36
144,Khatanga,RU,2022-02-11 00:55:33,71.9667,102.5,-4.74,94,25,12.93
