City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
356,Alihe,CN,50.5667,123.7167,-7.2,99,98,2.24,overcast clouds
357,Dolores,AR,-36.3132,-57.6792,69.37,43,82,14.67,broken clouds
358,Zhigansk,RU,66.7697,123.3711,-33.45,100,69,4.54,broken clouds
359,Nanning,CN,22.8167,108.3167,52.05,88,100,5.79,overcast clouds
360,Ambilobe,MG,-13.2,49.05,73.36,94,22,1.28,moderate rain
361,Shieli,KZ,44.1667,66.75,33.48,85,100,5.93,overcast clouds
362,Goure,NE,13.9835,10.2704,80.02,8,8,9.57,clear sky
363,Krasnaya Gorbatka,RU,55.8703,41.7641,19.04,91,67,9.6,snow
364,Mpongwe,ZM,-13.5091,28.155,66.4,86,87,0.83,light rain
365,Saint Anthony,US,45.0205,-93.218,2.25,66,20,4.61,few clouds
366,Najran,SA,17.4924,44.1277,71.83,25,12,6.38,few clouds
367,Kijang,KR,35.2442,129.2139,47.53,60,84,11.07,light rain
368,Hattiesburg,US,31.3271,-89.2903,67.21,58,0,9.22,clear sky
369,Nara,JP,34.6851,135.8049,41.97,56,8,2.84,clear sky
370,Isangel,VU,-19.55,169.2667,79.21,89,86,4.12,overcast clouds
371,Pemberton,CA,50.3164,-122.8027,44.2,75,18,1.01,few clouds
372,Savignano Sul Rubicone,IT,44.0953,12.4086,48.72,74,0,7.0,clear sky
373,Marang,MY,5.2056,103.2059,76.66,83,96,4.7,overcast clouds
374,Ferrol,ES,43.4832,-8.2369,57.45,85,49,4.25,scattered clouds
375,Novopetrovskoye,RU,55.9928,36.4719,22.12,91,66,9.24,light snow
376,Genhe,CN,50.7833,121.5167,-22.67,100,49,1.3,scattered clouds
377,Kasongo,CD,-4.45,26.6667,72.21,86,75,3.33,broken clouds
378,Nkoteng,CM,4.5167,12.0333,87.46,17,11,2.55,few clouds
379,Lerwick,GB,60.1545,-1.1494,46.4,85,100,25.75,overcast clouds
380,Bara,NG,10.3744,10.7288,87.15,12,86,7.61,overcast clouds
381,Huarmey,PE,-10.0681,-78.1522,76.26,71,80,10.74,broken clouds
382,Leshukonskoye,RU,64.8989,45.7622,16.2,95,99,5.68,overcast clouds
383,Airai,TL,-8.9266,125.4092,59.31,93,86,2.19,overcast clouds
384,Ngunguru,NZ,-35.6167,174.5,70.29,80,93,31.27,overcast clouds
385,Lloydminster,CA,53.2835,-110.0016,8.71,88,43,2.24,scattered clouds
386,Predivinsk,RU,57.0669,93.4378,-1.97,93,15,6.64,few clouds
387,Kidal,ML,18.4411,1.4078,84.15,7,0,10.38,clear sky
388,Balakhta,RU,55.38,91.6,-16.6,99,53,2.28,broken clouds
389,Dudinka,RU,69.4058,86.1778,-5.22,83,21,15.28,few clouds
390,Tharad,IN,24.3961,71.6267,64.63,22,0,5.03,clear sky
391,Ulladulla,AU,-35.35,150.4667,62.1,83,100,3.0,overcast clouds
392,Dubbo,AU,-32.25,148.6167,60.93,82,0,9.22,clear sky
