City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Arlit,NE,78.4,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
635,Booue,GA,82.92,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
645,Camopi,GF,78.62,overcast clouds,3.1655,-52.3158,La pousada
650,Olinda,BR,87.53,few clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
651,Tsevie,TG,85.08,overcast clouds,6.4261,1.2133,Hotel Melissa
656,Inhambane,MZ,78.57,scattered clouds,-23.865,35.3833,Oceano
660,Kolokani,ML,89.33,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
662,Sao Sebastiao,BR,77.25,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
667,Rabak,SD,82.8,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
668,Mongagua,BR,87.93,overcast clouds,-24.0931,-46.6208,Hostel Aloha Brasil
676,Nueva Loja,EC,82.42,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
